tweet_id,created_at,text,replies,retweets,likes
2059126714597306716,2026-05-26T04:17:20.000Z,"The Islamic Republic of #Iran extends its warmest congratulations to the friendly people and government of #Georgia on its Independence Day (დამოუკიდებლობის დღე).
Strengthening bilateral relations in all fields is a common agenda for the two nations.",7.0,9,87
2048674761182748761,2026-04-27T08:05:00.000Z,The Islamic Republic of #Iran extends its warm congratulations to the government and people of the Republic of #Sierra_Leone on the occasion of its Independence Day.,8.0,15,212
2058423246156902452,2026-05-24T05:42:00.000Z,"The Islamic Republic of #Iran extends its congratulations to the people and government of #Eritrea on the 35th anniversary of its independence.
Strengthening bilateral relations in all fields is a common agenda for the two nations.",67.0,283,953
2056637901589360651,2026-05-19T07:27:40.000Z,"FM Spox's Reaction to German Chancellor's Unfounded Accusations Against Iran:

The hypocrisy is glaring. Overt attacks by the US & Israeli regime on Iran’s safeguarded nuclear facilities are met not with condemnation, but with excuses and rationalization..
en.mfa.gov.ir/portal/newsvie
…",4.0,7,35
2048642297080791477,2026-04-27T05:56:00.000Z,"The Islamic Republic of #Iran extends its sincerest congratulations to the government and people of the Republic of #South_Africa on the occasion of its Freedom Day.  
The mutual agenda of the two nations is to strengthen bilateral relations in all fields.",50.0,259,1.1K
2033727975250690327,2026-03-17T02:11:48.000Z,"#Minab: When the world’s most precise missile chose a classroom:

Targeting a school and the mass killing of children are war crimes, and those responsible need to be held to account.",57.0,195,510
2045374906490352050,2026-04-18T05:32:33.000Z,"The Islamic Republic of #Iran extends its congratulations to the people and Government of the Republic of #Zimbabwe on its Independence Day. 
The mutual agenda of the two nations is to strengthen bilateral relations in all fields.",48.0,26,290
2029927868600385959,2026-03-06T14:31:32.000Z,"#Iran, #Cuba Foreign Ministers Hold Phone Talks on Regional Developments

Cuban Foreign Minister Bruno Rodríguez Parrilla held a telephone conversation on Thursday evening with Iran’s Foreign Minister Seyed Abbas Araghchi to discuss the latest regional developments and the",13.0,43,148
2021262874090537076,2026-02-10T16:39:57.000Z,"Statement by the Iranian Foreign Minister, Seyed Abbas Araghchi, following the senior commanders of the Islamic Republic of Iran Army’s joint meeting with the Minister and Deputy Ministers of Foreign Affairs 

 Today, during the Ten-Day Dawn and on the eve of the 47th",7.0,27,96
2021262740455817685,2026-02-10T16:39:25.000Z,"Statement by Major General Amir Hatami, Commander-in-Chief of the Islamic Republic of Iran Army, following the senior army commanders’ joint meeting with the Minister and Deputy Ministers of Foreign Affairs 

 During the blessed Ten-Day Dawn of the Islamic Revolution, we",9.0,21,65
2015399221952762205,2026-01-25T12:19:53.000Z,"Foreign Ministers of Iran and Pakistan hold telephone conversation 

Iranian Foreign Minister Seyed Abbas Araghchi and his Pakistani counterpart Mohammad Ishaq Dar held a telephone conversation on Tuesday. 

During the conversation, Araghchi appreciated Pakistan’s negative vote",55.0,86,520
1999350249727385638,2025-12-12T05:27:00.000Z,"The Islamic Republic of #Iran extends its warm congratulations to the friendly government and  people of the Republic of #Kenya  on their Republic Day (#JamhuriDay).  
We remain committed to further enhancing bilateral ties and expanding cooperation in all fields that serve",2.0,7,36
2032798747416043713,2026-03-14T12:39:23.000Z,"Iranian, Sri Lankan Foreign Ministers discuss regional developments in phone call 

Seyed Abbas Araghchi, Minister of Foreign Affairs of the Islamic Republic of #Iran, held a telephone conversation on Friday evening with Vijitha Herath, Minister of Foreign Affairs of #SriLanka.",43.0,102,601
2012362100409020421,2026-01-17T03:11:27.000Z,"Statement in Response to the Interventionist Statement of the G7 Countries

The Ministry of Foreign Affairs of the Islamic Republic of #Iran strongly condemns the interventionist statement of the #G7 countries regarding Iran’s internal affairs and considers it as a clear evidence",50.0,100,265
2031107726005203420,2026-03-09T20:39:52.000Z,"Foreign Ministers of the Islamic Republic of #Iran and #Japan hold phone conversation 

Seyed Abbas Araghchi, Minister of Foreign Affairs of the Islamic Republic of Iran, and Toshimitsu Motegi, Minister of Foreign Affairs of Japan, held a telephone conversation on Monday",23.0,114,501
1999431862012314050,2025-12-12T10:51:18.000Z,"Tehran to host regional meeting with participation of #Afghanistan’s neighboring countries

The spokesperson of the Iranian Foreign Ministry, Esmaeil Baqaei, announced in an interview with reporters that preparations are underway for holding a regional meeting in Tehran to",4.0,12,27
2004845893325873403,2025-12-27T09:24:43.000Z,"Iran condemns terrorist attack on Imam Ali mosque in Syria 

Iranian Foreign Ministry Spokesman Esmail Baqaei strongly condemned the terrorist attack on worshippers at the Imam Ali ibn Abi Talib Mosque in #Syria’s Homs province, which resulted in the martyrdom and injury of a",21.0,42,181
2017318114711769283,2026-01-30T19:24:53.000Z,"Iranian FM holds talks with Turkish counterpart 

Iranian Foreign Minister Seyed Abbas Araghchi, who has traveled to Turkey for consultations with senior Turkish officials, held talks at noon on Friday in Istanbul with his Turkish counterpart Hakan Fidan. 

At the meeting, the",14.0,16,96
2023785241169584515,2026-02-17T15:42:56.000Z,"Remarks by Iranian Foreign Minister, Seyed Abbas Araghchi, After Conclusion of the Geneva Talks 

 Today (Tuesday), we held the second round of indirect negotiations with the US delegation at the Omani Embassy in Geneva. Consultations had begun yesterday, and Grossi arrived in",25.0,25,73
2021843726058885367,2026-02-12T07:08:02.000Z," IRAN From Above 
Released by the Public Diplomacy Center, Ministry of Foreign Affairs, #Islamic_Republic of #Iran, on the occasion of the 47th anniversary of the victory of the Islamic Revolution.",17.0,49,126
2031676340953293241,2026-03-11T10:19:21.000Z,"Iran FM, UN Secretary-General hold telephone conversation 

Seyed Abbas Araghchi, Minister of Foreign Affairs of the Islamic Republic of Iran, and António Guterres, Secretary-General of the United Nations, discussed and exchanged views in a telephone conversation regarding the",49.0,162,442
2030362665386684913,2026-03-07T19:19:16.000Z,"Statement

In the Name of God, the Most Gracious, the Most Merciful 

The joint military aggression by the #ZionistRegime and the #UnitedStates of America against the Islamic Republic of Iran, which began on February 28, 2026, with the martyrdom of the Supreme Leader of the",190.0,1.7K,5.2K
2027314878436843604,2026-02-27T09:28:27.000Z,"Iran lashes out at Israel for airstrikes on Lebanon 

The Spokesperson for the Iranian Foreign Ministry, 
Esmail Baqaei, strongly condemned the airstrikes by the #Zionist_Regime on #Lebanon, including the Bekaa region, which resulted in the martyrdom and injury of civilians and",14.0,63,231
2018975554633093373,2026-02-04T09:10:57.000Z,"The Islamic Republic of #Iran extends its sincere congratulations to the people and government of #SriLanka on the occasion of Independence Day.
We are determined to promote bilateral relations and cooperation in all areas.",7.0,16,125
2025503328411738433,2026-02-22T09:30:00.000Z,"Iranian FM, IAEA head discuss Iran’s nuclear talks with US 

The Director General of the International Atomic Energy Agency (IAEA), Rafael Grossi, had a phone conversation on Saturday evening with the Foreign Minister of the Islamic Republic of Iran, Seyed Abbas Araghchi,",13.0,23,88
2018243986515787852,2026-02-02T08:43:58.000Z,"Iran strongly censures Zionist regime for airstrikes on Lebanon 

The Spokesperson for the Iranian Ministry of Foreign Affairs, Esmail Baqaei, strongly condemned the #Zionist_Regime’s extensive airstrikes on various regions of #Lebanon, particularly residential areas in the south",25.0,61,220
