tweet_id,created_at,text,replies,retweets,likes
2052013939936956586,2026-05-06T13:13:42.000Z,I held constructive talks in Beijing with Chinese Foreign Minister Wang Yi. Both sides reaffirmed Iran's right to safeguard national sovereignty and national dignity. The Iranian side appreciates the four-point proposal put forward by the Chinese side on upholding and promoting,1K,4.1K,18K
2048519460793761995,2026-04-26T21:47:53.000Z,"Appreciative of my gracious hosts in Oman.

Important discussions on bilateral matters and regional developments. As only Hormuz littoral states, our focus included ways to ensure safe transit that is to benefit of all dear neighbors and the world.

Our neighbors are our priority",945,5.6K,30K
2047370382878073125,2026-04-23T17:41:52.000Z,"The failure of Israel's terrorist killings is reflected in how Iran's state institutions continue to act with unity, purpose, and discipline.

The battlefield and diplomacy are fully coordinated fronts in the same war.

Iranians are all united, more than ever before.",1K,6.3K,28K
2049823975891444028,2026-04-30T12:11:34.000Z,"Today is Persian Gulf Day in Iran, marking our ancestors' expulsion of Portuguese from Strait of Hormuz 400 years ago.

POTUS uses the correct term “Persian Gulf"", not the Pentagon’s fake version. But calling Hormuz anything else is indeed a ""terrible mistake"".",852,4.5K,21K
2048079374683918833,2026-04-25T16:39:09.000Z,"Very fruitful visit to Pakistan, whose good offices and brotherly efforts to bring back peace to our region we very much value.

Shared Iran's position concerning workable framework to permanently end the war on Iran. Have yet to see if the U.S. is truly serious about diplomacy.",501,2.4K,15K
2052703834888360089,2026-05-08T10:55:06.000Z,"Every time a diplomatic solution is on the table, the U.S. opts for a reckless military adventure. Is it a crude pressure tactic? Or the result of a spoiler once again duping POTUS into another quagmire? 

Whatever the causes, outcome is the same: Iranians never bow to pressure.",1.6K,6.5K,21K
2051419381981409354,2026-05-04T21:51:08.000Z,"Events in Hormuz make clear that there's no military solution to a political crisis.

As talks are making progress with Pakistan's gracious effort, the U.S. should be wary of being dragged back into quagmire by ill-wishers. So should the UAE.

Project Freedom is Project Deadlock.",2.5K,9.4K,43K
2048078742627488207,2026-04-25T16:36:38.000Z,"Very fruitful visit to Pakistan, whose good offices and brotherly efforts to bring back peace to our region we very much value.

Shared Iran's position concerning workable framework to permanently end the war on Iran. Have yet to see if the U.S. is truly serious about diplomacy.",2.1K,10K,49K
2048942941784117346,2026-04-28T01:50:39.000Z,"Pleased to engage with Russia at the highest level as the region is in major flux.

Recent events have evidenced the depth and strength of our strategic partnership. As our relationship continues to grow, we are grateful for solidarity and welcome Russia's support for diplomacy.",1.2K,9.1K,46K
2050286694101106726,2026-05-01T18:50:15.000Z,"I welcome the selection of the framework for appointing the Prime Minister, and I congratulate my brother Ali Al-Falih Al-Zaidi on his mandate, wishing him success in forming the government and serving the Iraqi people. Iran affirms its respect for Iraq's sovereignty and its",763,1.8K,14K
2050134098706845856,2026-05-01T08:43:53.000Z,"The Pentagon is lying. Netanyahu's gamble has directly cost America $100b so far, four times what is claimed.

Indirect costs for U.S. taxpayers are FAR higher. Monthly bill for each American household is $500 and rising fast.

Israel First always means America Last.",1.3K,9.7K,32K
2047685407941296331,2026-04-24T14:33:40.000Z,"Embarking on timely tour of Islamabad, Muscat, and Moscow.

Purpose of my visits is to closely coordinate with our partners on bilateral matters and consult on regional developments.

Our neighbors are our priority.",2.2K,8.9K,47K
