tweet_id,created_at,text,replies,retweets,likes
2055329902946123871,2026-05-15T16:50:09.000Z,"The enemy of humanity – namely international capitalism and Zionism – has decided to destroy family since approximately a hundred years ago. Make it your duty to fight against them.

Feb. 26, 2019

#FamilyDay2026
#InternationalFamiliesDay",306,667,3K
2041601931890622471,2026-04-07T19:40:06.000Z,"This is the real nature of the Zionists.
Nov. 19, 2023",251,1.7K,14K
2058944057284465058,2026-05-25T16:11:31.000Z,"This year's bara'at [renunciation of the polytheists] must continue beyond the time and place of #Hajj to all Muslim countries and cities worldwide. It must continue beyond just the Hajj pilgrims and be extended to the general populace.

June 13, 2024",193,493,4.2K
2057548037837221930,2026-05-21T19:44:14.000Z,"The Zionists call themselves the superior race and consider the rest of humanity — people from all walks of life who are not Zionists or Jews — to be an inferior race.

Nov. 19, 2023

#GlobalSumudFlotilla",269,897,3.2K
2051320918584988156,2026-05-04T15:19:53.000Z,"The weakening of the world's Arrogant Powers is one of the main components of the ongoing transformation. The US as an Arrogant Power has become weak and is continuously becoming weaker. Another component of this transformation is the emergence of new powers.

Sept. 11, 2023",2.5K,3.1K,17K
2043696939900780903,2026-04-13T14:24:55.000Z,"Prophet #Jesus (pbuh) called people to the path of God & warned against evil & oppression. Immoral, tyrannical powers sought to kill that divine messenger. Lustful, warmongering people couldn’t tolerate the religion of God, His Prophet, and the followers of His path.
Jan. 2, 1995",1.3K,4.7K,27K
2040869140253077666,2026-04-05T19:08:15.000Z,"Following Jesus Christ (pbuh) necessarily entails supporting the truth and renouncing anti-truth powers. It is hoped that Christians and Muslims everywhere in the world will keep this great lesson of Jesus Christ (pbuh) alive in their lives and actions.
Jan. 2, 1995
#Easter",2K,5.3K,32K
2051651904728354972,2026-05-05T13:15:06.000Z,"The firm view of the Islamic Republic is that the governments that are gambling on normalizing relations with the Zionist regime are making a mistake and will suffer losses. Defeat awaits them. As the Europeans say, “They are betting on a losing horse.” 

Oct. 3, 2023",601,557,3.1K
2034372171426906447,2026-03-18T20:51:37.000Z,"Since the Islamic Republic of #Iran relies on the people, it doesn’t fear the US or any other Arrogant Power whatsoever.

Nov. 14, 2000",618,1.8K,12K
2031419898312655008,2026-03-10T17:20:20.000Z,"Island of oppression & corruption 

They’ve created an island for corruption. Is that a joke? Moral corruption, corruption in actions, oppression, force, coercion, interference, and clawing at whatever they can get their hands on. 

#EpsteinFiles",3.6K,6.7K,30K
2023812863522222421,2026-02-17T17:32:41.000Z,"Everything we had ever heard about their corruption is one thing; this affair of that morally corrupt island is another altogether. These are indicative of what Western civilization and liberal democracy are. They proceed for 200, 300 years and this is the ultimate outcome.",1.1K,2.7K,13K
2020822989105725754,2026-02-09T11:32:00.000Z,National power is tied more to the determination of nations and the steadfastness of people than to missiles and aircrafts.,447,518,3.3K
2018352962989604986,2026-02-02T15:57:00.000Z,"Another feature of this sedition was that those ringleaders trained by the US and Zionists were given the task of engineered killings. They even attacked the foot soldiers whom they themselves had drawn into the field with their propaganda, striking them from behind.",325,487,2.6K
2039412793951056000,2026-04-01T18:41:15.000Z,"The US President has said that for 47 years, the US hasn't been able to eliminate the Islamic Republic. That confession is true. I say, ""You, too, won’t be able to do such a thing.""
Feb. 17, 2026
#Islamic_Republic_of_Iran",669,2.4K,13K
2040716939295588647,2026-04-05T09:03:27.000Z,"The Americans once attacked here in #Tabas—remember!?—they wet themselves, turned back, and left!

August 13, 2018
#Iran",1.1K,5.2K,23K
2018356737791905846,2026-02-02T16:12:00.000Z,"Like the Daesh, the seditionists in Iran burned people alive. They beheaded people! They committed the very same atrocities that Daesh committed.",1.3K,827,4.8K
2037580253258813564,2026-03-27T17:19:23.000Z,"Neither the Americans, Western governments, nor governments in the region were aware of the true power of the Resistance. They know about it now. Look at the determination of the Resistance forces in Lebanon, Yemen, and Iraq!

March 20, 2024",878,2K,12K
2020801346249625737,2026-02-09T10:06:00.000Z,"On the 22nd of Bahman, 1357 [Feb. 11, 1979], the Iranian nation achieved a great victory. It succeeded in rescuing itself and its country from foreign interference.",323,456,3.2K
2037972101760532766,2026-03-28T19:16:27.000Z,"Right now, people throughout all US states are chanting slogans against him [Trump]. If you're so capable, solve their problem! You interfere in the affairs of other countries; you build military bases…!
Oct. 20, 2025

#NoKings",2K,3.9K,22K
2037231464446599373,2026-03-26T18:13:25.000Z,"Hezbollah is alive and thriving.

Oct. 24, 2024",2.2K,3.6K,31K
2021992068651036830,2026-02-12T16:57:30.000Z,"For an entire nation to take to the streets, to all say the same thing with a single objective, to actively demonstrate that they’re present on the scene, & to be able to assert their identity before their enemies’ eyes is very valuable.",385,544,3.5K
2020821760392782294,2026-02-09T11:27:07.000Z,"By taking part in street marches on the victory anniv. of the Islamic Revolution, the Iranian nation compels those who covet the Islamic Iran, the Islamic Republic, and the interests of this nation to retreat.",226,362,2.4K
2021992449544245565,2026-02-12T16:59:01.000Z,"I thank the entire Iranian nation, and I offer my warmest greetings to each and every person who took part in yesterday’s magnificent, nationwide gathering of millions.",1.5K,1.5K,13K
2018349188522602742,2026-02-02T15:42:00.000Z,"The law enforcement forces, the Basij, and the IRGC carried out their duties in full. But it was the people themselves who trampled the fire of sedition into ashes.",654,488,3.2K
2023768176107126989,2026-02-17T14:35:07.000Z,"The Americans say, ‘Let's negotiate over your nuclear energy, and the result of the negotiation is supposed to be that you do not have this energy!'",1K,1.9K,11K
2037261376817635653,2026-03-26T20:12:17.000Z,"If US’s decline needed a single reason, the rise of sb like Trump to power would have sufficed. The fate of 300 million pple is in hands of sb whose psychological, mental & moral stability is at best questionable. This signals the decline of a country.
June 4, 2019
#EpsteinFiles",1.2K,2.7K,15K
