tweet_id,created_at,text,replies,retweets,likes
2049932487216816202,2026-04-30T19:22:45.000Z,"#FacesOfVictory

 On April 30, 1945, Red Army soldiers Grigory #Bulatov & Rakhimzhan #Koshkarbayev raised the first Red Banner on the facade of the Reichstag, which heralded the upcoming Victory in #WW2. 

Learn more about their feat: 
t.me/MFARussia/29611",26,32,77
2049759802968941008,2026-04-30T07:56:34.000Z," Presidential Aide Yury #Ushakov on the phone conversation between Presidents Vladimir #Putin & 
@realDonaldTrump
 on April 29:

Both Leaders essentially shared the same assessment of the Zelensky-led regime, which is seeking to prolong the conflict.
t.me/MFARussia/29602",43,60,133
2049956962616684901,2026-04-30T21:00:00.000Z,"Happy May 1st!

Best wishes to from 
@mfa_russia
 on #Spring & #LabourDay!",119,235,877
2050324653432819966,2026-05-01T21:21:05.000Z," May 1 marks  years of diplomatic relations between our country & #Pakistan

 Enhancing beneficial partnership with Pakistan is a priority for Russia in #SouthAsia

 We extend warmest congrats to Pakistani colleagues on our shared Anniversary
t.me/MFARussia/29631",39,210,792
2049876660250349783,2026-04-30T15:40:55.000Z," FM Sergey Lavrov to FM of Kazakhstan Yermek Kosherbayev:

Kazakhstan & Russia are closest neighbours & allies, bound by centuries-old traditions of friendship.

Our countries maintain extensive economic ties – we are key trade & investment partners.
t.me/MFARussia/29607",16,44,169
2049840733260034371,2026-04-30T13:18:09.000Z," President #Putin to the participants of the 11th #NPT RevCon:

Today, additional multilateral efforts are required to advance towards a nuclear-weapon-free world, while strictly upholding the principle of undiminished security for all.
t.me/MFARussia/29604",70,103,332
2049576076754489724,2026-04-29T19:46:30.000Z," President Vladimir #Putin to President of the Republic of the Congo Denis Sassou #Nguesso:

 Russia & the Congo have enjoyed full-fledged & good relations.

We appreciate that Russia is the first country you visited upon inauguration.
t.me/MFARussia/29593

#RussiaCongo",12,82,350
2049938085199454322,2026-04-30T19:45:00.000Z,"#WeRemember

 #OTD in 1945, Red Army soldier Nikolay #Masalov performed the legendary feat in history of #WW2 — by risking his life under Nazi heavy fire, he rescued a German girl during the Battle of Berlin.

Learn more: 
t.me/MFARussia/29613

#Victory81",11,42,131
2050220753883206003,2026-05-01T14:28:13.000Z,"#Victory81

 On May 1, 1945, the legendary #VictoryBanner was raised over Reichstag, marking the end of final battle of #WW2.

The Victory Banner soaring over defeated Reich entered history as symbol of our great triumph in the fight against Nazi evil.
t.me/MFARussia/29627",60,117,283
2049743847819825383,2026-04-30T06:53:10.000Z, #LIVE: Remarks by Russia's Foreign Minister Sergey Lavrov at a joint news conference with Foreign Minister of Kazakhstan Yermek Kosherbayev following bilateral talks in Astana,13,27,87
2049826892123947121,2026-04-30T12:23:09.000Z," On April 30, Russian Foreign Minister Sergey Lavrov was received by President of Kazakhstan 
@TokayevKZ
 

 © Press Office of the President of Kazakhstan",19,53,235
2049903777692475479,2026-04-30T17:28:40.000Z," FM Sergey Lavrov at a joint presser with FM Yermek Kosherbayev:

Today, we thoroughly reviewed the current state & prospects of our multifaceted & mutually beneficial #RussiaKazakhstan cooperation, as well as key regional and international issues.
t.me/MFARussia/29612",15,34,146
2049718918722564190,2026-04-30T05:14:06.000Z," Russia's Foreign Minister Sergey #Lavrov and Foreign Minister of Kazakhstan Yermek #Kosherbayev ahead of bilateral talks in Astana (April 29, 2026)

 #RussiaKazakhstan",24,32,178
