tweet_id,created_at,text,replies,retweets,likes
2027926396136296683,2026-03-01T01:58:24.000Z,"In the Name of God, the Compassionate, the Merciful

Among the faithful are men who fulfill what they have pledged to Allah: there are some among them who have fulfilled their pledge, and some of them who still wait, and they have not changed in the least (Holy Quran 33:23).",26K,39K,192K
2029936701599089088,2026-03-06T15:06:38.000Z,"The Zionist regime has made a big mistake, and its consequences will make the regime desperate, by God's grace.",10K,13K,74K
2034372171426906447,2026-03-18T20:51:37.000Z,"Since the Islamic Republic of #Iran relies on the people, it doesn’t fear the US or any other Arrogant Power whatsoever.

Nov. 14, 2000",644,1.8K,13K
2023812863522222421,2026-02-17T17:32:41.000Z,"Everything we had ever heard about their corruption is one thing; this affair of that morally corrupt island is another altogether. These are indicative of what Western civilization and liberal democracy are. They proceed for 200, 300 years and this is the ultimate outcome.",1.1K,2.9K,13K
2031419898312655008,2026-03-10T17:20:20.000Z,"Island of oppression & corruption 

They’ve created an island for corruption. Is that a joke? Moral corruption, corruption in actions, oppression, force, coercion, interference, and clawing at whatever they can get their hands on. 

#EpsteinFiles",3.7K,7.1K,31K
2023848566603788765,2026-02-17T19:54:34.000Z,"""So should anyone aggress against you, assail him in the manner he assailed you.""
(Holy Quran, 2:194)",2.5K,3.4K,18K
2023768176107126989,2026-02-17T14:35:07.000Z,"The Americans say, ‘Let's negotiate over your nuclear energy, and the result of the negotiation is supposed to be that you do not have this energy!'",1K,2K,11K
2033252456298119348,2026-03-15T18:42:16.000Z,"The US’s interference in various parts of the world is one of the factors that’s causing it to become more isolated and detested in the world day by day.

Nov. 27, 2025",1.7K,3.5K,22K
2035790488242921700,2026-03-22T18:47:30.000Z,"If the enemy strikes us one blow, they'll receive 10. 
June 4, 2018",2.6K,5.9K,43K
2023818179496341793,2026-02-17T17:53:49.000Z,"This island of corruption is only one example. There is much more of this. Just as this was not apparent and then became exposed, there are many other things that will soon come to light.",1.4K,5.9K,29K
2023768178569117943,2026-02-17T14:35:08.000Z,"If that’s the case, there is no room for negotiation; but if negotiations are truly to take place, determining the outcome of the negotiations in advance is a wrong and foolish act.",382,995,7.3K
