feature,importance
last3_oil_price_min,0.07067457041846242
oil_price_d,0.06687263761882785
last3_oil_price_avg,0.06386804045017752
oil_rolling_avg_7d,0.059415622889663344
oil_price_d_minus1,0.05613852426931241
oil_rolling_avg_5d,0.05350456397153818
last3_oil_price_max,0.04857949546813383
oil_price_7d_ago,0.04542963043512754
oil_rolling_avg_14d,0.045144575743411325
oil_price_d_minus2,0.043296967819546464
oil_price_14d_ago,0.027773651544929466
oil_pct_change_14d,0.008878468954922144
oil_price_vs_avg14,0.008675735048354172
oil_price_vs_avg7,0.008119301054710074
oil_pct_change_5d,0.0075068931281101455
oil_pct_change_7d,0.007501839859305911
oil_range_3d,0.00702712419306511
last3_oil_price_std,0.006881785541769993
last3_oil_price_change,0.006702974587472328
oil_pct_change_3d,0.006462774387726257
oil_price_vs_avg5,0.006408225343365395
oil_price_vs_avg3,0.006156469564445897
oil_pct_change_1d,0.005253284129813239
oil_momentum_2d,0.0051403974596443865
oil_momentum_1d,0.0049364810315859885
oil_streak_5d,0.004642082401135301
oil_pct_change_2d,0.004550131284248709
last3_aggressive_present,0.004369621295229111
oil_acceleration,0.004363145913111627
last3_positive_tweets,0.0042494619048023
last3_mfa_russia_count,0.004040383358284845
last3_peace_topic_count_ratio,0.0040331920745659555
oil_up_3d,0.003977722100391382
oil_streak,0.003932877380107297
russia_tweet_ratio,0.0038264519128777996
last3_usa_topic_count,0.0036870085166866087
word_russia,0.0034230379213268645
last3_aggressive_ratio,0.003352951725987562
last3_war_topic_count_ratio,0.003317181436359046
word_mfarussia,0.0031156877395674774
last3_russia_topic_count_ratio,0.0029713697886454694
word_attack,0.0028998006221531264
last3_IDF_count,0.002881529058709469
last3_negative_tweets,0.002834579046773653
word_world,0.002793426562123187
word_sergey,0.0027784481786750576
last3_tweet_count,0.002623063451937286
word_ukrainian,0.002550094945573531
last3_iran_topic_count_ratio,0.00242729907828287
word_israel,0.0024243996743767314
oil_up_1d,0.0024204030937595676
word_fm,0.002406835333104715
word_year,0.0024040180164390124
last3_russia_topic_count,0.00237013128532265
last3_economy_topic_count_ratio,0.0023524224732656123
last3_usa_topic_count_ratio,0.0023461284152633734
word_including,0.0022610951036761296
word_years,0.0022348729971886374
last3_israel_lebanon_topic_count,0.002218729751567469
word_donald,0.002216590912306398
last3_sentiment_std,0.002182708008472401
last3_total_topic_count,0.0021437971778155425
word_nation,0.002117622938184501
word_russian,0.00209904995194622
last3_max_sentiment,0.0020816291075427145
last3_avg_sentiment,0.0020721081947071905
word_house,0.0020710373316348805
word_president,0.00205304737918146
last3_neutral_tweets,0.0020321897055341934
oil_up_2d,0.002007198048366839
word_countries,0.0020015495050942065
last3_WhiteHouse_count,0.0019319711815639644
word_continue,0.0019234868966338252
last3_mfa_russia_avg_sentiment,0.0019007653354654926
last3_oil_energy_topic_count,0.0018987236729578808
word_victory,0.0018985073338221262
word_lebanon,0.0018808154000337432
word_american,0.0018518286693008175
