split,model,accuracy,f1_macro,f1_weighted
80-20,Logistic Regression,0.4,0.20833333333333334,0.275
80-20,Logistic L1,0.36,0.20689655172413793,0.2731034482758621
80-20,SVC linear,0.36,0.19354838709677422,0.25548387096774194
80-20,SVC rbf,0.0,0.0,0.0
80-20,Random Forest,0.44,0.2473604826546003,0.3265158371040724
70-30,Logistic Regression,0.3157894736842105,0.21212121212121213,0.2344497607655502
70-30,Logistic L1,0.4473684210526316,0.20606060606060606,0.3090909090909091
70-30,SVC linear,0.3157894736842105,0.16,0.15157894736842104
70-30,SVC rbf,0.0,0.0,0.0
70-30,Random Forest,0.631578947368421,0.46913580246913583,0.5672514619883041
60-40,Logistic Regression,0.48,0.21621621621621623,0.32432432432432434
60-40,Logistic L1,0.2,0.15734265734265734,0.12783216783216783
60-40,SVC linear,0.46,0.26212832550860715,0.3365258215962441
60-40,SVC rbf,0.5,0.2222222222222222,0.33333333333333326
60-40,Random Forest,0.5,0.2222222222222222,0.33333333333333326
