date,text,publisher,oil_price,oil_open,oil_high,oil_low,oil_volume,oil_change_percent
2025-12-02,"I am asking all America First Patriots in Tennessee’s 7th Congressional District to please GET OUT AND VOTE TOMORROW for a phenomenal Candidate, Matt Van Epps, on Election Day, Tuesday, December 2nd! You can win this Election for MAGA Warrior Matt Van Epps, who has my Complete",realDonaldTrump,,,,,,
2025-12-02,"I am asking all America First Patriots in Tennessee’s 7th Congressional District to please GET OUT AND VOTE for a phenomenal Candidate and MAGA Warrior, Matt Van Epps! You can win this Election for Matt, who has my Complete and Total Endorsement. HE WILL BE A GREAT CONGRESSMAN",realDonaldTrump,,,,,,
2025-12-03,"Fatherless children, eroding familial relationships, ruining the family structure, gangs preying on young girls, & increasing sexual promiscuity all under the name of freedom! Such corruption reflects the status of families in the West & they label it “freedom!""",khamenei_ir,,,,,,
2025-12-03,"If the laws of Islam aren’t followed, the resulting lack of restraint will do the same thing it has done in the West today, which you hear about and is evident in the corrupt gangs and organizations in the US, Europe, and most Western countries.",khamenei_ir,,,,,,
2025-12-03,"In Islam, the dignity of women and respecting women are some of the most essential elements. According to a hadith, the Prophet (pbuh) stated, “A woman is like a flower in the home, and she isn’t a servant for the home.""",khamenei_ir,,,,,,
2025-12-03,"In many Western countries today, women are paid less than men for doing the same work. That’s how they are today, which is totally unjust.",khamenei_ir,,,,,,
2025-12-03,"In the Western capitalist culture, women are viewed as being objects of pleasure. The criminal gangs that have recently created an uproar in #America are a clear indication of this.",khamenei_ir,,,,,,
2025-12-03,"In the home environment, the most important right of the highest priority that the lady of the house, the woman of the house, has is affection. There’s a hadith that says that men should tell their wives, “I love you.”",khamenei_ir,,,,,,
2025-12-03,"Islam’s view of women is in complete contrast to that of Western capitalism. In Islam, a woman has independence, the ability to move & progress, & an identity. But not there [in the West]. Women’s honor & dignity aren’t respected, & women are a means for material exploitation.",khamenei_ir,,,,,,
2025-12-03,"One of the gravest sins of Western capitalist civilization and culture is their destruction of the family structure. In other words, the family — in the sense of it being a connected, unified, loving unit — doesn’t exist.",khamenei_ir,,,,,,
2025-12-03,"One of the gravest sins of Western capitalist logic and culture is that they deceitfully label corruption and promiscuity as “freedom.” And when they try to spread that culture, they say, “We're liberating you!” But in fact, they're enslaving people.",khamenei_ir,,,,,,
2025-12-03,"One of the most important things that men and women do is forming a family. Unfortunately, the formation of a family is something that’s been forgotten in the erroneous logic of the capitalist culture and Western culture.",khamenei_ir,,,,,,
2025-12-03,"Safeguarding a woman’s security, dignity, and honor is one of women’s rights. A woman’s dignity must be protected. The evil capitalist logic tramples on and destroys women’s dignity.",khamenei_ir,,,,,,
